Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
1,170,NVIDIA DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",NVIDIA Corporation,Nvidia,United States,2020,Vendor,"19,840","17,280","2,356.00","2,812.80",89.94,Submitted,26.20,,2,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Mellanox HDR Infiniband,North America,"48,448",179910
2,330,MN-3,"MN-Core Server, Xeon Platinum 8260M 24C 2.4GHz, Preferred Networks MN-Core, MN-Core DirectConnect",Preferred Networks,Preferred Networks,Japan,2020,Industry,"1,664",128,"1,652.90","3,137.87",65.39,Optimized,26.04,Optimized,3,"1,621.20",62.26,Cluster,Xeon Platinum 8260M 24C 2.4GHz,Intel Cascade lake,"2,400",Ubuntu Linux,Linux,Preferred Networks MN-Core,24,Xeon Platinum 82xx (Cascade Lake),MN-Core Server,Preferred Networks Cluster,Custom Interconnect,MN-Core DirectConnect,Asia,"50,832",179806
3,7,JUWELS Booster Module,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2020,Research,"449,280","404,352","44,120.00","70,980.00","1,764.22",Submitted,25.01,,1,,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",CentOS,Linux,NVIDIA A100,24,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179894
4,146,Spartan2,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",Atos,Atos,France,2020,Vendor,"23,040","20,736","2,566.00","3,847.22",105.76,Submitted,24.26,,1,,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",Linux,Linux,NVIDIA A100,24,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,630",179893
5,5,Selene,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",NVIDIA Corporation,Nvidia,United States,2020,Vendor,"555,520","483,840","63,460.00","79,215.00","2,646.00",Submitted,23.98,,2,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Mellanox HDR Infiniband,North America,"48,448",179842
6,239,A64FX prototype,"Fujitsu A64FX, Fujitsu A64FX 48C 2GHz, Tofu interconnect D",Fujitsu Numazu Plant,Fujitsu,Japan,2019,Vendor,"36,864",,"1,999.50","2,359.30",118.48,Submitted,16.88,,2,,,Cluster,Fujitsu A64FX 48C 2GHz,Fujitsu ARM,"2,000",Linux,Linux,None,48,Fujitsu A64FX,Fujitsu A64FX,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,"50,811",179706
7,29,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),IBM,United States,2019,Academic,"130,000","120,000","8,339.00","11,032.03",512.08,Submitted,16.28,,3,,,Cluster,IBM POWER9 20C 3.45GHz,Power,"3,450",RHEL 7.6,Linux,NVIDIA Volta GV100,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"50,823",179781
8,8,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",Eni S.p.A.,Dell EMC,Italy,2020,Industry,"669,760","582,400","35,450.00","51,720.76","2,252.17",Submitted,15.74,,1,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Xeon Gold 62xx (Cascade Lake),PowerEdge C4140,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Europe,"50,489",179856
9,458,Satori,"IBM Power System AC922, IBM POWER9  20C 2.4GHz, Infiniband EDR, NVIDIA Tesla V100 SXM2","MIT/MGHPCC Holyoke, MA",IBM,United States,2019,Academic,"23,040","20,480","1,464.00","1,739.78",94.00,Submitted,15.57,,2,,,Cluster,IBM POWER9  20C 2.4GHz,Power,"2,400",RHEL 7.6,Linux,NVIDIA Tesla V100 SXM2,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Infiniband EDR,North America,"50,822",179780
10,1,Supercomputer Fugaku,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",RIKEN Center for Computational Science,Fujitsu,Japan,2020,Research,"7,630,848",,"442,010.00","537,212.00","29,899.23",Optimized,15.42,Optimized,2,"404,690.00","26,248.36",MPP,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,Supercomputer Fugaku,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,"50,831",179807
